Study,Time,Conc,SD,Unit,Matrix,Species,Route,Repeat,Dose,Chemical,Interval
3,12,0.67,NA,ug/mL,P,Swine,IV,1,11,OTC,24
3,24,2.3,NA,ug/mL,P,Swine,IV,1,11,OTC,24
3,32,0.41,NA,ug/mL,P,Swine,IV,1,11,OTC,24
3,0.25,5.96,NA,ug/mL,M,Swine,IV,1,11,OTC,24
3,1,8.92,NA,ug/mL,M,Swine,IV,1,11,OTC,24
3,2,9.29,NA,ug/mL,M,Swine,IV,1,11,OTC,24
3,4,7.36,NA,ug/mL,M,Swine,IV,1,11,OTC,24
3,8,4.19,NA,ug/mL,M,Swine,IV,1,11,OTC,24
3,12,0.99,NA,ug/mL,M,Swine,IV,1,11,OTC,24
3,24,0.95,NA,ug/mL,M,Swine,IV,1,11,OTC,24
3,32,0.82,NA,ug/mL,M,Swine,IV,1,11,OTC,24
3,0.25,55.1,NA,ug/mL,K,Swine,IV,1,11,OTC,24
3,1,64,NA,ug/mL,K,Swine,IV,1,11,OTC,24
3,2,58.6,NA,ug/mL,K,Swine,IV,1,11,OTC,24
3,4,41.4,NA,ug/mL,K,Swine,IV,1,11,OTC,24
3,8,17.6,NA,ug/mL,K,Swine,IV,1,11,OTC,24
3,12,13.35,NA,ug/mL,K,Swine,IV,1,11,OTC,24
3,24,4.8,NA,ug/mL,K,Swine,IV,1,11,OTC,24
3,32,3.85,NA,ug/mL,K,Swine,IV,1,11,OTC,24
4,6,0.04,NA,ug/mL,P,Swine,PO,8,25,OTC,12
4,6,0.03,NA,ug/mL,P,Swine,PO,8,22,OTC,12
4,6,0.1,NA,ug/mL,P,Swine,PO,8,22,OTC,12
4,6,0.05,NA,ug/mL,P,Swine,PO,8,22,OTC,12
4,100,0.04,NA,ug/mL,P,Swine,PO,8,22,OTC,12
4,100,0.03,NA,ug/mL,P,Swine,PO,8,22,OTC,12
4,100,0.02,NA,ug/mL,P,Swine,PO,8,22,OTC,12
4,100,0.08,NA,ug/mL,P,Swine,PO,8,22,OTC,12
5,0.25,12.7,5.5,ug/mL,P,Swine,IV,1,11,OTC,12
5,0.5,8.1,1.2,ug/mL,P,Swine,IV,1,11,OTC,12
5,1,6.33,1.02,ug/mL,P,Swine,IV,1,11,OTC,12
5,1.5,5,1.02,ug/mL,P,Swine,IV,1,11,OTC,12
5,2,4.3,0.55,ug/mL,P,Swine,IV,1,11,OTC,12
5,3,3.25,0.79,ug/mL,P,Swine,IV,1,11,OTC,12
5,4,2.73,0.58,ug/mL,P,Swine,IV,1,11,OTC,12
5,6,1.61,0.58,ug/mL,P,Swine,IV,1,11,OTC,12
5,8,1.13,0.24,ug/mL,P,Swine,IV,1,11,OTC,12
5,12,0.63,0.13,ug/mL,P,Swine,IV,1,11,OTC,12
5,24,0.08,0.05,ug/mL,P,Swine,IV,1,11,OTC,12
5,32,0.02,0.04,ug/mL,P,Swine,IV,1,11,OTC,12
5,0.25,12,NA,ug/mL,L,Swine,IV,1,11,OTC,12
5,1,17.97,NA,ug/mL,L,Swine,IV,1,11,OTC,12
5,2,14.27,NA,ug/mL,L,Swine,IV,1,11,OTC,12
5,4,11.07,NA,ug/mL,L,Swine,IV,1,11,OTC,12
5,6,4.61,NA,ug/mL,L,Swine,IV,1,11,OTC,12
5,12,2.77,NA,ug/mL,L,Swine,IV,1,11,OTC,12
5,24,0.77,NA,ug/mL,L,Swine,IV,1,11,OTC,12
5,32,0.84,NA,ug/mL,L,Swine,IV,1,11,OTC,12
5,0.25,5.96,NA,ug/mL,M,Swine,IV,1,11,OTC,12
5,1,8.92,NA,ug/mL,M,Swine,IV,1,11,OTC,12
5,2,9.29,NA,ug/mL,M,Swine,IV,1,11,OTC,12
5,4,7.36,NA,ug/mL,M,Swine,IV,1,11,OTC,12
5,6,4.19,NA,ug/mL,M,Swine,IV,1,11,OTC,12
5,12,2.67,NA,ug/mL,M,Swine,IV,1,11,OTC,12
5,24,0.95,NA,ug/mL,M,Swine,IV,1,11,OTC,12
5,32,0.82,NA,ug/mL,M,Swine,IV,1,11,OTC,12
5,0.25,55.1,NA,ug/mL,K,Swine,IV,1,11,OTC,12
5,1,64,NA,ug/mL,K,Swine,IV,1,11,OTC,12
5,2,58.6,NA,ug/mL,K,Swine,IV,1,11,OTC,12
5,4,41.4,NA,ug/mL,K,Swine,IV,1,11,OTC,12
5,6,17.6,NA,ug/mL,K,Swine,IV,1,11,OTC,12
5,12,13.35,NA,ug/mL,K,Swine,IV,1,11,OTC,12
5,24,4.8,NA,ug/mL,K,Swine,IV,1,11,OTC,12
5,32,3.85,NA,ug/mL,K,Swine,IV,1,11,OTC,12
5,0.25,3.52,NA,ug/mL,F,Swine,IV,1,11,OTC,12
5,1,2.94,NA,ug/mL,F,Swine,IV,1,11,OTC,12
5,2,1.61,NA,ug/mL,F,Swine,IV,1,11,OTC,12
5,4,4.03,NA,ug/mL,F,Swine,IV,1,11,OTC,12
5,6,1,NA,ug/mL,F,Swine,IV,1,11,OTC,12
5,12,0.65,NA,ug/mL,F,Swine,IV,1,11,OTC,12
5,24,0.21,NA,ug/mL,F,Swine,IV,1,11,OTC,12
5,32,0.28,NA,ug/mL,F,Swine,IV,1,11,OTC,12
6,132,0.27,0.09,ug/mL,K,Swine,pow,5,22,OTC,12
6,156,0.15,0.04,ug/mL,K,Swine,pow,5,22,OTC,12
6,180,0.14,0.03,ug/mL,K,Swine,pow,5,22,OTC,12
7,334,1.345,0.26,ug/mL,K,Swine,pow,14,22,OTC,12
7,348,0.524,0.134,ug/mL,K,Swine,pow,14,22,OTC,12
7,372,0.692,0.612,ug/mL,K,Swine,pow,14,22,OTC,12
7,396,0.339,0.243,ug/mL,K,Swine,pow,14,22,OTC,12
7,444,0.198,0.016,ug/mL,K,Swine,pow,14,22,OTC,12
7,492,0.204,0.049,ug/mL,K,Swine,pow,14,22,OTC,12
7,334,0.37,0.073,ug/mL,L,Swine,pow,14,22,OTC,12
7,348,0.177,0.053,ug/mL,L,Swine,pow,14,22,OTC,12
7,372,0.302,0.004,ug/mL,L,Swine,pow,14,22,OTC,12
7,402,0.2,0.012,ug/mL,L,Swine,pow,14,22,OTC,12
7,334,0.297,0.044,ug/mL,M,Swine,pow,14,22,OTC,12
7,348,0.23,0.055,ug/mL,M,Swine,pow,14,22,OTC,12
7,372,0.189,0.032,ug/mL,M,Swine,pow,14,22,OTC,12
7,396,0.172,0.054,ug/mL,M,Swine,pow,14,22,OTC,12
7,334,0.141,0.034,ug/mL,F,Swine,pow,14,22,OTC,12
